@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute test-1 numeric
@attribute thickness-1 numeric

@data
285,'2021/04/01 19:19:18:172',6,0.51,0.52
286,'2021/04/01 19:19:18:188',6,0.52,0.52
287,'2021/04/01 19:19:18:206',6,0.52,0.52
288,'2021/04/01 19:19:18:221',6,0.53,0.52
289,'2021/04/01 19:19:18:238',6,0.53,0.52
290,'2021/04/01 19:19:18:255',6,0.53,0.52
291,'2021/04/01 19:19:18:275',6,0.53,0.52
292,'2021/04/01 19:19:18:289',6,0.53,0.52
293,'2021/04/01 19:19:18:304',6,0.53,0.52
294,'2021/04/01 19:19:18:322',6,0.53,0.52
295,'2021/04/01 19:19:18:338',6,0.53,0.52
296,'2021/04/01 19:19:18:355',6,0.53,0.52
297,'2021/04/01 19:19:18:372',6,0.52,0.52
298,'2021/04/01 19:19:18:388',6,0.52,0.52
299,'2021/04/01 19:19:18:405',6,0.51,0.52
300,'2021/04/01 19:19:18:421',6,0.51,0.52
301,'2021/04/01 19:19:18:438',6,0.5,0.52
302,'2021/04/01 19:19:18:455',6,0.5,0.52
303,'2021/04/01 19:19:18:471',6,0.49,0.52
304,'2021/04/01 19:19:18:488',6,0.48,0.52
305,'2021/04/01 19:19:18:548',6,0.48,0.52
306,'2021/04/01 19:19:18:554',6,0.44,0.52
